non_inclusive_term,inclusive_alternatives,note
learning disabled,person with learning disabilities,"Refer to the person, rather than the disability, first."
disabled,"turned off, has a disability, person with a disability, people with disabilities","Refer to the person, rather than the disability, first."
invalid,"turned off, has a disability, person with a disability, people with disabilities","Refer to the person, rather than the disability, first."
birth defect,"has a disability, person with a disability, people with disabilities","Assumes/implies that a person with a disability is deficient or inferior to others. When possible, specify the functional ability or its restriction."
suffers from disabilities,"has a disability, person with a disability, people with disabilities",Assumes that a person with a disability has a reduced quality of life.
suffering from disabilities,"has a disability, person with a disability, people with disabilities",Assumes that a person with a disability has a reduced quality of life.
suffering from a disability,"has a disability, person with a disability, people with disabilities",Assumes that a person with a disability has a reduced quality of life.
afflicted with disabilities,"has a disability, person with a disability, people with disabilities",Assumes that a person with a disability has a reduced quality of life.
afflicted with a disability,"has a disability, person with a disability, people with disabilities",Assumes that a person with a disability has a reduced quality of life.
intellectually disabled people,people with intellectual disabilities,"Refer to the person, rather than the disability, first."
intellectually disabled,person with an intellectual disability,Assumes that a person with an intellectual disability has a reduced quality of life.
has intellectual issues,person with an intellectual disability,Assumes that a person with an intellectual disability has a reduced quality of life.
suffers from intellectual disabilities,person with an intellectual disability,Assumes that a person with an intellectual disability has a reduced quality of life.
suffering from intellectual disabilities,person with an intellectual disability,Assumes that a person with an intellectual disability has a reduced quality of life.
suffering from an intellectual disability,person with an intellectual disability,Assumes that a person with an intellectual disability has a reduced quality of life.
afflicted with intellectual disabilities,person with an intellectual disability,Assumes that a person with an intellectual disability has a reduced quality of life.
afflicted with a intellectual disability,person with an intellectual disability,Assumes that a person with an intellectual disability has a reduced quality of life.
batshit,"rude, malicious, mean, disgusting, incredible, vile, person with symptoms of mental illness, person with mental illness, person with symptoms of a mental disorder, person with a mental disorder",Describe the behavior or illness without derogatory words.
psycho,"rude, malicious, mean, disgusting, incredible, vile, person with symptoms of mental illness, person with mental illness, person with symptoms of a mental disorder, person with a mental disorder",Describe the behavior or illness without derogatory words.
crazy,"rude, malicious, mean, disgusting, incredible, vile, person with symptoms of mental illness, person with mental illness, person with symptoms of a mental disorder, person with a mental disorder",Describe the behavior or illness without derogatory words.
delirious,"rude, malicious, mean, disgusting, incredible, vile, person with symptoms of mental illness, person with mental illness, person with symptoms of a mental disorder, person with a mental disorder",Describe the behavior or illness without derogatory words.
